"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.23","1251","$205.18","1117","$143.76","144"
"Alaska","$287.83","293","$257.4","353","$375.82","27"
"Arizona","$301.42","2213","$208.61","1934","$191.94","259"
"Arkansas","$352","683","$184.87","636","$129.02","128"
"California","$246.09","13743","$191.88","14991","$191.68","888"
"Colorado","$236.82","2584","$196.19","2167","$233.09","155"
"Connecticut","$344.9","1465","$272.61","1555","$249.46","99"
"Delaware","$369.78","401","$228.59","323","$209.72","38"
"District of Columbia","$347.06","507","$291.65","423","$211.88","46"
"Florida","$304.53","7695","$218.2","6304","$151.98","589"
"Georgia","$328.98","3611","$214.88","2671","$153.75","255"
"Hawaii","$314.71","376","$275.59","412","$165.55","28"
"Idaho","$275.66","354","$252.99","521","$139.21","27"
"Illinois","$356.72","4629","$285.9","4241","$189.75","382"
"Indiana","$334.92","1935","$210.12","1724","$156.73","277"
"Iowa","$369.78","792","$290.04","777","$247.1","110"
"Kansas","$350.63","961","$261.79","765","$118.41","121"
"Kentucky","$339.6","1189","$182.32","1161","$124.69","155"
"Louisiana","$370.31","1239","$244.49","1039","$146.33","264"
"Maine","$317.35","517","$258.22","504","$274.25","58"
"Montana","$268.35","638","$251.87","309","$660.67","25"
"Nebraska","$344.58","587","$251.13","579","$140.02","68"
"Nevada","$268.23","1024","$227.17","1103","$243.46","66"
"New Hampshire","$359.78","487","$291.26","518","$677.38","41"
"New Jersey","$352.11","2531","$291.05","3273","$231.78","216"
"New Mexico","$290.87","639","$200.99","516","$84.16","49"
"New York","$348.92","6533","$266.63","6802","$205.21","529"
"North Carolina","$352.82","3264","$244.9","2292","$151.01","255"
"North Dakota","$391.23","169","$351.03","242","$334.13","18"
"Ohio","$336.4","3502","$216.37","3376","$164.2","452"
"Oklahoma","$366.16","869","$234.79","819","$120.06","156"
"Oregon","$210.12","1814","$185.94","1545","$165.75","75"
"Maryland","$374.6","2289","$250.62","1846","$188.84","169"
"Massachusetts","$350.55","3282","$294.44","2881","$220.03","243"
"Michigan","$295.06","3394","$278.01","2937","$274.53","249"
"Minnesota","$367.4","1969","$276.92","1869","$183.45","108"
"Mississippi","$341.42","485","$146.2","419","$140.95","119"
"Missouri","$368.36","1813","$243.99","1571","$144.04","236"
"Pennsylvania","$368.34","4475","$267.66","3832","$195.34","421"
"Rhode Island","$329.98","592","$258.63","416","$208.36","35"
"South Carolina","$343.49","1351","$201.63","1075","$186.91","139"
"South Dakota","$387.6","179","$355.12","198","$124.17","21"
"Tennessee","$355.55","1814","$224.5","1462","$187.96","175"
"Texas","$339.59","6880","$234.06","6766","$143.12","980"
"Utah","$290.64","784","$240.1","821","$204.76","51"
"Vermont","$376.52","312","$320.96","273","$190.36","26"
"Virginia","$370.75","2823","$288.31","2344","$224.14","238"
"Washington","$233.51","2670","$190.57","2731","$141.86","123"
"West Virginia","$354.78","443","$214.48","432","$156.1","48"
"Wisconsin","$355.1","1847","$271.78","1648","$240.36","142"
"Wyoming","$349.95","107","$359.98","155","$161.3","11"
