"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$339.31","1075","$199.38","971","$152.02","129"
"Alaska","$290.75","263","$263.23","306","$388.58","26"
"Arizona","$303.76","1991","$210.15","1672","$197.17","226"
"Arkansas","$360.73","591","$183.33","563","$128.03","116"
"California","$248.29","12428","$193.18","13210","$192.71","791"
"Colorado","$237.18","2266","$197.41","1852","$213.55","134"
"Connecticut","$347.23","1330","$273.59","1364","$254.01","93"
"Delaware","$372.79","360","$225.91","282","$199.88","34"
"District of Columbia","$351.51","454","$292.67","358","$211.38","40"
"Florida","$306.18","6713","$219.61","5419","$157.57","525"
"Georgia","$332.15","3197","$214.36","2341","$154.7","233"
"Hawaii","$308.22","335","$272.55","363","$162.11","26"
"Idaho","$275.84","323","$255.79","456","$133.75","22"
"Illinois","$359.5","4113","$287.58","3767","$181.73","347"
"Indiana","$336.55","1722","$207.2","1502","$161.44","255"
"Iowa","$371.7","710","$293.08","671","$250.34","104"
"Kansas","$355.2","856","$261.31","653","$123.2","110"
"Kentucky","$338.05","1042","$181.35","1015","$125.11","136"
"Louisiana","$374.7","1116","$244.43","899","$151.47","234"
"Maine","$319.86","466","$257.84","444","$214.8","52"
"Montana","$271.24","596","$250.96","268","$734.65","22"
"Nebraska","$352.65","523","$248.74","525","$142.51","63"
"Nevada","$270.47","930","$219.23","956","$255.23","62"
"New Hampshire","$378.23","443","$287.33","465","$561.24","39"
"New Jersey","$355.34","2298","$293.19","2889","$231.96","193"
"New Mexico","$294.63","581","$205.35","449","$63.7","42"
"New York","$352.18","5969","$268.17","6019","$189.85","493"
"North Carolina","$355.68","2882","$247.44","1979","$151.72","233"
"North Dakota","$410.88","141","$328","210","$269.55","13"
"Ohio","$336.88","3152","$213.74","2912","$167.82","411"
"Oklahoma","$365.06","779","$229.19","700","$120.54","134"
"Oregon","$212.68","1655","$189.05","1370","$175.34","63"
"Maryland","$379.65","2028","$248.5","1607","$194.99","154"
"Massachusetts","$353.81","2954","$297.13","2547","$217.65","223"
"Michigan","$298.36","3133","$276.78","2606","$228.04","233"
"Minnesota","$370.16","1768","$278.2","1595","$182.59","102"
"Mississippi","$340.43","420","$150.69","360","$137.48","99"
"Missouri","$367.72","1604","$241.79","1332","$151.37","211"
"Pennsylvania","$371.94","3958","$266.24","3324","$194.3","379"
"Rhode Island","$333.76","539","$261.62","366","$201.75","34"
"South Carolina","$347.09","1192","$202.01","932","$171.2","125"
"South Dakota","$385.67","169","$367.48","170","$125.68","20"
"Tennessee","$358.55","1606","$224.53","1273","$199.5","153"
"Texas","$342.12","6166","$236.07","5858","$142.78","874"
"Utah","$292.31","706","$232.24","703","$168.59","44"
"Vermont","$378.21","284","$323","232","$187.64","25"
"Virginia","$374.12","2551","$287.56","2034","$226.78","212"
"Washington","$235.78","2402","$191.87","2432","$142.94","110"
"West Virginia","$363.09","371","$198.74","384","$158.3","41"
"Wisconsin","$358.18","1675","$269.51","1421","$231.68","130"
"Wyoming","$354.03","94","$378.64","137","$161.3","11"
