"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$341.18","1234","$205.54","1110","$143.98","143"
"Alaska","$287.86","292","$256.95","350","$375.82","27"
"Arizona","$301.43","2195","$209.24","1900","$194.11","254"
"Arkansas","$352.04","681","$184.67","633","$129.02","128"
"California","$246.18","13618","$192.06","14834","$192.76","878"
"Colorado","$237.01","2557","$196.36","2138","$228.07","153"
"Connecticut","$345.25","1455","$274.72","1540","$249.46","99"
"Delaware","$370.6","398","$227.79","321","$209.72","38"
"District of Columbia","$347","503","$290.46","418","$214.01","45"
"Florida","$304.34","7605","$218.63","6226","$152.28","587"
"Georgia","$329.21","3586","$215.15","2644","$154.24","251"
"Hawaii","$314.2","370","$275.71","410","$167.62","27"
"Idaho","$274.75","351","$255.16","519","$139.21","27"
"Illinois","$356.78","4595","$286.15","4191","$189.63","377"
"Indiana","$334.76","1917","$209.72","1704","$157.6","274"
"Iowa","$370.39","788","$292.34","766","$247.1","110"
"Kansas","$351.31","953","$261.47","755","$120.19","119"
"Kentucky","$335.91","1176","$182.92","1146","$123.77","152"
"Louisiana","$370.35","1229","$244.16","1028","$147.57","260"
"Maine","$318.71","509","$257.98","498","$216.72","56"
"Montana","$268.74","634","$250.49","306","$660.67","25"
"Nebraska","$344.29","584","$250.8","574","$140.02","68"
"Nevada","$268.37","1011","$227.23","1088","$243.46","66"
"New Hampshire","$360.74","484","$290.85","512","$677.38","41"
"New Jersey","$352.45","2510","$290.9","3239","$232.13","215"
"New Mexico","$290.89","634","$201.25","512","$80.21","47"
"New York","$349.31","6483","$266.58","6737","$205.32","526"
"North Carolina","$353.84","3231","$245.12","2272","$150.89","253"
"North Dakota","$392.48","166","$351.03","242","$334.13","18"
"Ohio","$336.27","3471","$215.86","3329","$164.6","448"
"Oklahoma","$366.45","862","$232.24","809","$120.93","154"
"Oregon","$210.09","1805","$185.99","1534","$165.75","75"
"Maryland","$375.39","2264","$249.91","1829","$189.38","168"
"Massachusetts","$350.33","3258","$294.92","2846","$219.35","240"
"Michigan","$295.38","3374","$278.47","2905","$272.58","248"
"Minnesota","$367.57","1953","$277.05","1851","$183.45","108"
"Mississippi","$340.63","482","$146.83","413","$140.95","119"
"Missouri","$368.19","1803","$244.88","1552","$148.35","231"
"Pennsylvania","$368.57","4442","$267.57","3782","$195.66","419"
"Rhode Island","$330.22","590","$259.24","410","$208.36","35"
"South Carolina","$344.47","1335","$202.62","1066","$186.91","139"
"South Dakota","$387.6","179","$355.3","197","$124.17","21"
"Tennessee","$356.34","1791","$224.94","1449","$188.47","174"
"Texas","$339.6","6824","$233.88","6701","$143.15","969"
"Utah","$291.1","776","$241.44","814","$188.53","50"
"Vermont","$376.65","308","$318.98","269","$190.36","26"
"Virginia","$371.13","2802","$288.14","2309","$224.33","235"
"Washington","$233.52","2655","$190.77","2708","$141.86","123"
"West Virginia","$357.05","434","$215.08","428","$158.25","46"
"Wisconsin","$355.55","1837","$271.07","1632","$241.02","141"
"Wyoming","$355.73","105","$362.56","150","$161.3","11"
