"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$341.2","1276","$204.71","1149","$142.72","146"
"Alaska","$285.55","302","$255.03","362","$373.01","28"
"Arizona","$302.22","2241","$208.26","1963","$189.81","264"
"Arkansas","$351.33","692","$183.98","651","$129.02","128"
"California","$245.84","13956","$192.5","15278","$190.27","908"
"Colorado","$236.83","2623","$196.7","2208","$233.09","155"
"Connecticut","$344.89","1489","$272.56","1580","$251.03","100"
"Delaware","$369.76","405","$229.13","324","$209.72","38"
"District of Columbia","$346.4","518","$291.35","428","$209.83","47"
"Florida","$303.83","7826","$217.47","6438","$152.69","597"
"Georgia","$328.32","3659","$215.23","2740","$153.02","261"
"Hawaii","$313.64","379","$266.85","423","$165.55","28"
"Idaho","$276.2","362","$252.72","527","$136.89","28"
"Illinois","$356.06","4688","$286.11","4316","$189.18","387"
"Indiana","$334.58","1964","$210.49","1775","$156.68","278"
"Iowa","$368.47","808","$289.78","795","$247.1","110"
"Kansas","$350.19","973","$261.37","776","$120.26","123"
"Kentucky","$339.41","1207","$181.63","1192","$124.69","155"
"Louisiana","$368.73","1265","$244.76","1056","$145.64","268"
"Maine","$317.31","518","$258","519","$274.25","58"
"Montana","$268.05","641","$252.43","311","$645.6","26"
"Nebraska","$344.16","598","$251.25","587","$136.34","70"
"Nevada","$267.91","1036","$230.4","1120","$244.08","67"
"New Hampshire","$359.49","492","$291.59","526","$666.71","42"
"New Jersey","$351.64","2557","$290.13","3319","$224.99","221"
"New Mexico","$290.19","649","$200.54","524","$85.81","52"
"New York","$348.5","6606","$266.32","6910","$204.86","533"
"North Carolina","$351.69","3333","$244.43","2340","$150.56","257"
"North Dakota","$400.39","175","$350.16","246","$334.13","18"
"Ohio","$336.15","3550","$216.55","3425","$163.18","458"
"Oklahoma","$367.34","883","$234.24","830","$119.23","158"
"Oregon","$209.72","1835","$185.7","1573","$163.84","77"
"Maryland","$373.64","2325","$249.63","1888","$188.3","170"
"Massachusetts","$351.04","3326","$293.92","2929","$219","246"
"Michigan","$295.35","3444","$278.73","2987","$274.17","255"
"Minnesota","$366.57","2002","$276.72","1903","$183.45","108"
"Mississippi","$339.45","499","$145.34","431","$140.57","120"
"Missouri","$368.13","1849","$243.62","1612","$143.7","249"
"Pennsylvania","$367.58","4546","$267.56","3910","$196.67","429"
"Rhode Island","$330.24","598","$258.57","424","$201.42","37"
"South Carolina","$342.76","1370","$200.34","1094","$191.81","140"
"South Dakota","$382.94","183","$352.55","204","$123.94","22"
"Tennessee","$355.06","1840","$224.62","1497","$187.46","176"
"Texas","$338.82","6978","$233.58","6878","$142.54","993"
"Utah","$289.35","802","$239.9","832","$201.13","52"
"Vermont","$376.44","314","$321.01","277","$190.36","26"
"Virginia","$369.76","2870","$288.53","2393","$222","241"
"Washington","$233.24","2696","$190.29","2785","$142.98","128"
"West Virginia","$354.83","450","$213.86","435","$156.1","48"
"Wisconsin","$354.83","1870","$272.04","1677","$239.18","144"
"Wyoming","$350.72","108","$358.86","157","$161.3","11"
