"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.87","1273","$204.71","1149","$142.72","146"
"Alaska","$285.55","302","$255.58","361","$373.01","28"
"Arizona","$302.22","2241","$208.09","1962","$189.81","264"
"Arkansas","$351.33","692","$183.98","651","$129.02","128"
"California","$245.89","13948","$192.53","15273","$190.27","908"
"Colorado","$236.86","2622","$196.7","2208","$233.09","155"
"Connecticut","$344.93","1488","$272.56","1580","$251.03","100"
"Delaware","$369.76","405","$229.13","324","$209.72","38"
"District of Columbia","$346.59","517","$291.35","428","$209.83","47"
"Florida","$303.87","7822","$217.38","6430","$152.69","597"
"Georgia","$328.38","3658","$215.2","2738","$153.02","261"
"Hawaii","$313.64","379","$266.85","423","$165.55","28"
"Idaho","$276.2","362","$252.72","527","$136.89","28"
"Illinois","$356.09","4686","$286.08","4313","$189.18","387"
"Indiana","$334.55","1963","$210.58","1774","$156.68","278"
"Iowa","$368.47","808","$289.78","794","$247.1","110"
"Kansas","$350.56","971","$261.37","776","$120.26","123"
"Kentucky","$339.41","1207","$181.71","1191","$124.69","155"
"Louisiana","$368.88","1263","$244.76","1056","$146.16","267"
"Maine","$317.31","518","$257.95","518","$274.25","58"
"Montana","$268.05","641","$252.43","311","$645.6","26"
"Nebraska","$344.16","598","$251.25","587","$136.34","70"
"Nevada","$267.91","1036","$230.4","1120","$244.08","67"
"New Hampshire","$359.49","492","$291.59","526","$666.71","42"
"New Jersey","$351.65","2555","$290.19","3318","$224.99","221"
"New Mexico","$290.19","649","$200.91","523","$86.37","51"
"New York","$348.53","6602","$266.3","6906","$204.86","533"
"North Carolina","$351.69","3333","$244.57","2338","$150.56","257"
"North Dakota","$400.39","175","$350.16","246","$334.13","18"
"Ohio","$336.15","3550","$216.59","3422","$163.18","458"
"Oklahoma","$367.34","883","$234.51","829","$119.23","158"
"Oregon","$209.72","1835","$185.7","1573","$163.84","77"
"Maryland","$373.75","2323","$249.49","1887","$188.3","170"
"Massachusetts","$350.97","3325","$293.92","2929","$219","246"
"Michigan","$295.35","3444","$278.73","2987","$274.17","255"
"Minnesota","$366.54","2001","$276.85","1901","$183.45","108"
"Mississippi","$339.43","498","$145.5","430","$140.57","120"
"Missouri","$367.78","1848","$243.46","1611","$143.7","249"
"Pennsylvania","$367.62","4545","$267.6","3908","$196.46","428"
"Rhode Island","$330.38","597","$259.05","423","$201.42","37"
"South Carolina","$342.59","1369","$200.15","1093","$186.91","139"
"South Dakota","$382.94","183","$352.55","204","$123.94","22"
"Tennessee","$354.94","1839","$224.82","1495","$187.46","176"
"Texas","$338.8","6977","$233.56","6874","$142.54","993"
"Utah","$289.35","802","$239.9","832","$201.13","52"
"Vermont","$376.44","314","$321.01","277","$190.36","26"
"Virginia","$369.76","2870","$288.53","2393","$222","241"
"Washington","$233.24","2696","$190.33","2784","$142.98","128"
"West Virginia","$354.83","450","$213.86","435","$156.1","48"
"Wisconsin","$354.83","1870","$271.88","1675","$239.18","144"
"Wyoming","$350.72","108","$358.86","157","$161.3","11"
