"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$341.04","1325","$204.78","1183","$148.39","152"
"Alaska","$288.79","316","$262.17","379","$372.09","31"
"Arizona","$302.81","2306","$208.84","2029","$185.68","273"
"Arkansas","$349.89","717","$183.87","676","$126.2","134"
"California","$245.5","14401","$192","15890","$189.45","938"
"Colorado","$236.95","2707","$196.47","2295","$231.56","158"
"Connecticut","$343.8","1528","$271.73","1652","$256.92","102"
"Delaware","$368.83","419","$232.69","346","$204.86","39"
"District of Columbia","$345.06","544","$292.33","453","$209.83","47"
"Florida","$302.69","8106","$217.8","6719","$151.87","614"
"Georgia","$327.18","3798","$215.22","2862","$146.68","271"
"Hawaii","$313.71","386","$275.71","439","$165.55","28"
"Idaho","$275.8","371","$249.81","555","$136.89","28"
"Illinois","$356.27","4825","$285","4481","$190.2","397"
"Indiana","$333.33","2040","$210.83","1858","$155.47","287"
"Iowa","$366.86","830","$290.25","828","$247.1","110"
"Kansas","$350.67","997","$258.88","811","$120.12","126"
"Kentucky","$338.8","1258","$182.08","1242","$124.06","160"
"Louisiana","$367.23","1312","$245.19","1112","$143.37","279"
"Maine","$316.82","532","$256.36","546","$272.95","59"
"Montana","$267.65","661","$252.01","316","$632.31","27"
"Nebraska","$344.06","611","$250.15","608","$133.37","73"
"Nevada","$268.1","1065","$229.37","1175","$233.41","72"
"New Hampshire","$358.89","510","$290.72","542","$657.98","43"
"New Jersey","$350.13","2646","$288.77","3444","$224.74","222"
"New Mexico","$290.34","670","$201.2","540","$93.93","54"
"New York","$347.45","6787","$266.14","7211","$205.48","546"
"North Carolina","$350.36","3452","$244.63","2453","$150.18","269"
"North Dakota","$401.15","178","$363.29","259","$335.8","20"
"Ohio","$335.74","3655","$217.07","3571","$162.32","474"
"Oklahoma","$365.27","907","$234.17","873","$118.22","163"
"Oregon","$208.99","1883","$185.22","1626","$162.91","79"
"Maryland","$371.7","2403","$250.79","1982","$189.57","176"
"Massachusetts","$350.63","3460","$292.95","3055","$221.94","250"
"Michigan","$293.57","3539","$277.55","3117","$273.42","257"
"Minnesota","$359.19","2061","$278.76","1992","$181.2","110"
"Mississippi","$337.14","518","$146.17","451","$146.82","123"
"Missouri","$362.32","1900","$244.42","1706","$146.9","262"
"Pennsylvania","$367.38","4690","$267.38","4073","$192.23","439"
"Rhode Island","$327.82","619","$255.77","442","$203.71","38"
"South Carolina","$343.06","1419","$201.27","1144","$189.76","144"
"South Dakota","$378.98","188","$350.47","210","$123.94","22"
"Tennessee","$353.64","1911","$224.67","1565","$187.33","182"
"Texas","$338.16","7166","$232.85","7152","$144.2","1025"
"Utah","$289.19","818","$238.73","876","$204.58","56"
"Vermont","$376.94","317","$320.45","290","$190.36","26"
"Virginia","$368.71","2973","$290.87","2507","$221.99","245"
"Washington","$232.34","2813","$189.96","2886","$138.79","134"
"West Virginia","$354.22","467","$216.61","453","$155.8","49"
"Wisconsin","$354.07","1919","$271.78","1751","$237.56","145"
"Wyoming","$351.25","109","$359.79","158","$161.3","12"
