"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.69","1296","$204.49","1164","$144.04","148"
"Alaska","$286.09","307","$259.38","368","$359.87","30"
"Arizona","$302.15","2262","$208.71","1987","$188.15","268"
"Arkansas","$351.34","698","$184.4","657","$127.16","130"
"California","$245.69","14099","$192.25","15487","$190.21","921"
"Colorado","$236.95","2652","$196.53","2242","$231.56","158"
"Connecticut","$344.07","1506","$272.94","1604","$251.03","100"
"Delaware","$368.97","409","$224.85","334","$204.86","39"
"District of Columbia","$346.1","525","$291.25","440","$209.83","47"
"Florida","$303.48","7923","$217.17","6559","$152.37","602"
"Georgia","$327.51","3709","$215.16","2787","$143.92","264"
"Hawaii","$313.64","382","$276.8","432","$165.55","28"
"Idaho","$275.8","366","$252.32","535","$136.89","28"
"Illinois","$356.14","4736","$285.22","4367","$190.94","392"
"Indiana","$333.85","1985","$210.35","1808","$156.36","280"
"Iowa","$367.35","816","$288.81","803","$247.1","110"
"Kansas","$349.67","982","$260.35","790","$120.31","125"
"Kentucky","$339.42","1228","$182.13","1211","$124.92","158"
"Louisiana","$367.66","1282","$244.68","1078","$144.64","273"
"Maine","$317.98","525","$257.26","525","$274.25","58"
"Montana","$268.18","649","$252.1","313","$632.31","27"
"Nebraska","$343.44","602","$250.8","598","$134.51","71"
"Nevada","$268.16","1045","$229.49","1147","$238.93","69"
"New Hampshire","$359.67","496","$291.24","532","$666.71","42"
"New Jersey","$351.19","2583","$289.89","3356","$224.99","221"
"New Mexico","$290.21","652","$201.63","530","$85.81","52"
"New York","$348.03","6674","$266.13","7016","$205.74","537"
"North Carolina","$351.1","3373","$244.89","2385","$151.84","262"
"North Dakota","$401.38","176","$353.73","249","$348.9","19"
"Ohio","$335.66","3583","$216.41","3472","$162.93","465"
"Oklahoma","$366.89","890","$233.69","844","$119.37","159"
"Oregon","$209.54","1848","$185.37","1597","$163.84","77"
"Maryland","$372.69","2353","$250.26","1929","$187.17","174"
"Massachusetts","$350.64","3373","$293.45","2967","$218.76","248"
"Michigan","$294.89","3475","$277.67","3031","$273.48","256"
"Minnesota","$366.4","2020","$277.71","1928","$181.83","109"
"Mississippi","$338.14","510","$146.01","442","$140.57","120"
"Missouri","$365.22","1869","$243.85","1639","$143.81","255"
"Pennsylvania","$367.44","4592","$267.4","3960","$196.54","433"
"Rhode Island","$328.33","608","$257.15","429","$203.71","38"
"South Carolina","$344.4","1384","$201","1111","$190.55","141"
"South Dakota","$382.94","184","$351.01","208","$123.94","22"
"Tennessee","$354.52","1872","$225.34","1517","$187.46","176"
"Texas","$338.55","7046","$233.55","6972","$142.51","1005"
"Utah","$289.27","807","$239.43","848","$202.8","53"
"Vermont","$376.52","315","$321.08","280","$190.36","26"
"Virginia","$369.56","2913","$288.55","2436","$222.77","243"
"Washington","$232.8","2722","$190.13","2820","$142.98","128"
"West Virginia","$356.01","455","$215.35","441","$155.8","49"
"Wisconsin","$354.88","1888","$271.58","1699","$237.56","145"
"Wyoming","$350.72","108","$359.79","158","$161.3","11"
