"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$341.2","1213","$204.5","1086","$145.88","141"
"Alaska","$287.59","286","$256.77","346","$388.58","26"
"Arizona","$302.01","2157","$208.66","1866","$193.93","251"
"Arkansas","$352.46","662","$183.17","620","$129.26","127"
"California","$246.61","13423","$192.96","14566","$191.96","864"
"Colorado","$237.37","2516","$197.37","2090","$226.28","150"
"Connecticut","$345.97","1440","$275.42","1514","$252.31","95"
"Delaware","$371.73","390","$226.24","315","$206.61","36"
"District of Columbia","$346.36","493","$290.44","408","$214.35","44"
"Florida","$304.83","7468","$218.84","6091","$152.55","578"
"Georgia","$329.31","3514","$214.82","2600","$152.82","249"
"Hawaii","$314.67","365","$276.46","403","$167.62","27"
"Idaho","$275.33","349","$256.56","511","$140.27","26"
"Illinois","$357.34","4516","$286.72","4126","$189.87","376"
"Indiana","$334.85","1885","$209.73","1677","$158.28","269"
"Iowa","$370.56","772","$292.62","754","$248.92","109"
"Kansas","$351.22","939","$262.12","739","$121.53","117"
"Kentucky","$340.74","1155","$183.18","1132","$125.28","146"
"Louisiana","$370.11","1210","$243.99","1004","$147.94","257"
"Maine","$319.58","502","$258.65","490","$216.72","56"
"Montana","$268.75","629","$250.16","299","$660.67","25"
"Nebraska","$345.17","577","$250.38","564","$140.02","68"
"Nevada","$267.65","997","$227.81","1064","$250.29","64"
"New Hampshire","$360.8","479","$290.49","505","$677.38","41"
"New Jersey","$352.61","2475","$291.42","3185","$232.13","215"
"New Mexico","$291.31","629","$213.86","493","$75.24","46"
"New York","$350.19","6398","$266.63","6629","$205.61","523"
"North Carolina","$354.14","3186","$245.54","2216","$151.32","248"
"North Dakota","$401.73","164","$364.13","237","$347.51","17"
"Ohio","$335.92","3421","$215.04","3258","$164.9","440"
"Oklahoma","$364.89","854","$230.23","787","$121.24","151"
"Oregon","$210.47","1789","$186.22","1511","$165.54","72"
"Maryland","$376.5","2232","$249.54","1796","$189.87","166"
"Massachusetts","$350.19","3207","$294.24","2804","$217.88","239"
"Michigan","$295.27","3342","$272.45","2851","$229.02","244"
"Minnesota","$367.87","1926","$277.03","1798","$186.51","106"
"Mississippi","$343.84","474","$147.09","406","$141.39","118"
"Missouri","$368.22","1782","$244.94","1513","$149.26","227"
"Pennsylvania","$369.05","4385","$267.68","3709","$193.44","411"
"Rhode Island","$331.15","584","$258.86","406","$201.75","34"
"South Carolina","$344.76","1314","$202.05","1047","$186.19","138"
"South Dakota","$388.48","178","$354.49","193","$124.17","21"
"Tennessee","$356.31","1762","$226.59","1424","$190.39","172"
"Texas","$340.3","6735","$234.45","6554","$142.59","956"
"Utah","$291.65","767","$241.97","796","$187.19","48"
"Vermont","$376.97","301","$319.68","263","$190.36","26"
"Virginia","$371.63","2756","$287.3","2259","$226.79","229"
"Washington","$234.07","2620","$191.08","2664","$143.67","121"
"West Virginia","$358.72","428","$214.67","423","$160.12","45"
"Wisconsin","$356.09","1806","$271.18","1594","$242.49","140"
"Wyoming","$354.72","103","$370.55","148","$161.3","11"
