"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","338.86","1436","204.34","1327","I feel bad for these guys -->","165"
"Alaska","291.47","333","262","430","I feel bad for these guys -->","35"
"Arizona","300.27","2460","210.75","2216","I feel bad for these guys -->","292"
"Arkansas","345.07","785","180.25","751","I feel bad for these guys -->","139"
"California","245","15522","190.88","17516","I feel bad for these guys -->","1005"
"Colorado","237.48","2926","196.98","2561","I feel bad for these guys -->","169"
"Connecticut","340.77","1692","270.97","1841","I feel bad for these guys -->","115"
"Delaware","365.36","463","233.2","400","I feel bad for these guys -->","39"
"District of Columbia","350.56","608","288.37","520","I feel bad for these guys -->","48"
"Florida","301.96","8773","217.92","7496","I feel bad for these guys -->","653"
"Georgia","326.59","4136","217.4","3154","I feel bad for these guys -->","287"
"Hawaii","310.47","423","268.39","478","I feel bad for these guys -->","29"
"Idaho","275.5","407","247.59","614","I feel bad for these guys -->","34"
"Illinois","356.12","5257","282.98","5062","I feel bad for these guys -->","421"
"Indiana","332.59","2226","213.74","2057","I feel bad for these guys -->","312"
"Iowa","365.36","906","288.72","932","I feel bad for these guys -->","114"
"Kansas","350.84","1088","262.74","909","I feel bad for these guys -->","130"
"Kentucky","338.83","1377","173.98","1370","I feel bad for these guys -->","170"
"Louisiana","365.28","1422","243.76","1239","I feel bad for these guys -->","299"
"Maine","314.92","572","244.06","603","I feel bad for these guys -->","59"
"Montana","265.99","703","250.51","345","I feel bad for these guys -->","30"
"Nebraska","340.43","661","248.11","667","I feel bad for these guys -->","74"
"Nevada","267.75","1152","229.73","1301","I feel bad for these guys -->","76"
"New Hampshire","356.55","553","290.45","606","I feel bad for these guys -->","49"
"New Jersey","348.63","2867","287.91","3834","I feel bad for these guys -->","241"
"New Mexico","288.21","735","203.5","600","I feel bad for these guys -->","59"
"New York","346.38","7350","264.71","7990","I feel bad for these guys -->","584"
"North Carolina","347.71","3776","245.29","2749","I feel bad for these guys -->","291"
"North Dakota","394.68","195","346.31","291","I feel bad for these guys -->","22"
"Ohio","334.31","3955","218.18","3938","I feel bad for these guys -->","515"
"Oklahoma","364.32","1002","233.96","973","I feel bad for these guys -->","178"
"Oregon","207.85","2050","182.08","1819","I feel bad for these guys -->","85"
"Maryland","369.47","2639","253.13","2237","I feel bad for these guys -->","186"
"Massachusetts","349.2","3766","288.55","3444","I feel bad for these guys -->","274"
"Michigan","290.67","3793","272.95","3418","I feel bad for these guys -->","279"
"Minnesota","354.13","2196","276.16","2239","I feel bad for these guys -->","118"
"Mississippi","337.09","564","146.14","499","I feel bad for these guys -->","134"
"Missouri","357.74","2070","246.08","1931","I feel bad for these guys -->","279"
"Pennsylvania","364.71","5146","268.4","4511","I feel bad for these guys -->","480"
"Rhode Island","319.76","671","257.94","491","I feel bad for these guys -->","43"
"South Carolina","340.57","1558","203.25","1270","I feel bad for these guys -->","156"
"South Dakota","376.71","206","348.54","233","I feel bad for these guys -->","25"
"Tennessee","351.56","2074","226.43","1719","I feel bad for these guys -->","203"
"Texas","336.72","7690","232.52","7834","I feel bad for these guys -->","1091"
"Utah","287.41","892","238.03","970","I feel bad for these guys -->","58"
"Vermont","374.09","336","312.76","337","I feel bad for these guys -->","29"
"Virginia","366.64","3242","292.06","2804","I feel bad for these guys -->","263"
"Washington","233.27","3111","189.34","3263","I feel bad for these guys -->","145"
"West Virginia","354.6","511","217.07","498","I feel bad for these guys -->","58"
"Wisconsin","352.32","2088","272.98","1995","I feel bad for these guys -->","155"
"Wyoming","328.51","119","355.57","175","I feel bad for these guys -->","12"
