"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.52","1137","$202.99","1029","$146.33","133"
"Alaska","$286.78","281","$252.29","322","$388.58","26"
"Arizona","$303.16","2084","$209.62","1766","$195.16","239"
"Arkansas","$358.91","624","$182.42","588","$126.75","125"
"California","$247.67","12960","$192.99","13855","$191.09","833"
"Colorado","$237.34","2391","$197.89","1971","$227.89","143"
"Connecticut","$347.28","1386","$276.37","1449","$252.31","95"
"Delaware","$371.65","375","$227.47","292","$206.61","36"
"District of Columbia","$350.87","477","$293.32","383","$208.53","41"
"Florida","$305.44","7117","$219.62","5782","$153.24","544"
"Georgia","$330.8","3357","$213.57","2457","$151.92","240"
"Hawaii","$308.49","351","$274.35","382","$167.62","27"
"Idaho","$275.8","332","$257.67","488","$129.39","24"
"Illinois","$358.45","4342","$287.57","3936","$177.84","361"
"Indiana","$334.48","1824","$207.96","1585","$168.7","261"
"Iowa","$370.98","747","$291.46","715","$247.69","107"
"Kansas","$352.52","896","$260.48","702","$113.12","113"
"Kentucky","$337.77","1100","$181.35","1066","$124.52","142"
"Louisiana","$373.12","1167","$243.39","951","$149.38","248"
"Maine","$319.72","481","$258.32","468","$214.8","52"
"Montana","$269.87","614","$250.9","284","$704.89","23"
"Nebraska","$347.79","553","$249.04","551","$141.76","64"
"Nevada","$268.92","958","$218.22","1015","$252.49","63"
"New Hampshire","$370.09","463","$289.68","480","$677.38","41"
"New Jersey","$353.52","2387","$292.15","3034","$233.2","205"
"New Mexico","$291.78","607","$217","470","$69.76","43"
"New York","$351.11","6190","$267.72","6332","$189.64","507"
"North Carolina","$354.78","3027","$247.65","2087","$151.27","246"
"North Dakota","$403.26","153","$353.61","228","$363.11","16"
"Ohio","$336.44","3294","$213.42","3089","$165.98","426"
"Oklahoma","$365.84","819","$227.29","740","$118.48","142"
"Oregon","$211.79","1727","$188.62","1446","$169.34","68"
"Maryland","$379.96","2141","$250.53","1702","$188.62","162"
"Massachusetts","$352.19","3079","$296.11","2673","$218.96","233"
"Michigan","$297.54","3233","$274.31","2745","$226.38","240"
"Minnesota","$368.87","1840","$277.68","1690","$181.28","103"
"Mississippi","$339.12","448","$146.71","391","$140.51","111"
"Missouri","$367.72","1699","$242.96","1413","$149.4","217"
"Pennsylvania","$370.57","4197","$266.74","3550","$190.66","392"
"Rhode Island","$332.42","569","$259.74","385","$201.75","34"
"South Carolina","$345.67","1262","$202.41","994","$176.28","130"
"South Dakota","$388.46","176","$354.47","183","$124.17","21"
"Tennessee","$356.29","1682","$226.66","1354","$192.74","167"
"Texas","$341.45","6474","$235.33","6241","$144.53","928"
"Utah","$292.5","733","$234.49","755","$189.78","47"
"Vermont","$376.96","293","$320.7","255","$187.64","25"
"Virginia","$372.69","2656","$288.16","2158","$226.77","224"
"Washington","$234.88","2513","$191.24","2553","$146.32","117"
"West Virginia","$362.97","400","$217.32","403","$160.65","42"
"Wisconsin","$357.47","1745","$269.96","1505","$238.37","138"
"Wyoming","$351.81","96","$378.46","144","$161.3","11"
