"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.58","1347","$203.88","1204","$147.74","156"
"Alaska","$287.96","320","$260.87","391","$407.31","32"
"Arizona","$300.93","2342","$209.32","2069","$186.79","276"
"Arkansas","$349.29","727","$183.05","698","$126.2","134"
"California","$245.33","14653","$191.89","16227","$189.4","956"
"Colorado","$238.21","2755","$196.38","2346","$229.01","161"
"Connecticut","$343.25","1562","$271.98","1685","$254.19","104"
"Delaware","$368.5","431","$228.77","360","$204.86","39"
"District of Columbia","$346.09","554","$290.62","468","$209.83","47"
"Florida","$302.33","8252","$217.7","6876","$152.01","617"
"Georgia","$326.91","3873","$215.65","2915","$146.79","274"
"Hawaii","$312.13","396","$273.96","449","$165.55","28"
"Idaho","$277.13","382","$250.03","570","$136.89","29"
"Illinois","$355.88","4912","$283.36","4590","$190.77","403"
"Indiana","$332.94","2083","$210.94","1897","$155.83","289"
"Iowa","$367.63","846","$289.51","851","$249.3","112"
"Kansas","$350.98","1017","$260.98","827","$122.23","129"
"Kentucky","$338.43","1282","$172.81","1272","$123.79","162"
"Louisiana","$366.75","1333","$245.74","1139","$143.14","281"
"Maine","$317.86","539","$246.04","557","$272.95","59"
"Montana","$267.28","670","$243.59","323","$609.45","28"
"Nebraska","$343.05","619","$250.38","613","$133.37","73"
"Nevada","$268.45","1084","$229.01","1198","$233.04","74"
"New Hampshire","$358.36","517","$289.34","563","$643","44"
"New Jersey","$350.07","2687","$288.44","3527","$225.94","228"
"New Mexico","$290.16","680","$201.78","555","$96.32","57"
"New York","$347.25","6905","$265.93","7377","$209.46","555"
"North Carolina","$350.38","3516","$245.1","2502","$149.37","272"
"North Dakota","$399.42","182","$365.31","265","$335.8","20"
"Ohio","$335.06","3711","$217.44","3657","$163.4","484"
"Oklahoma","$365.52","926","$232.2","897","$118.23","164"
"Oregon","$209.04","1923","$184.45","1670","$175.53","80"
"Maryland","$371.27","2458","$250.38","2029","$187.53","178"
"Massachusetts","$350.51","3536","$290.39","3126","$221.1","257"
"Michigan","$292.68","3592","$276.06","3195","$270.65","263"
"Minnesota","$358.42","2088","$277.54","2045","$184.78","112"
"Mississippi","$335.56","528","$145.89","457","$147.6","126"
"Missouri","$355.43","1944","$244.1","1748","$146.35","267"
"Pennsylvania","$366.73","4791","$266.93","4158","$191.84","444"
"Rhode Island","$323.95","628","$257.45","451","$199.96","39"
"South Carolina","$343.49","1441","$202.08","1174","$187.93","146"
"South Dakota","$381.16","191","$351.27","217","$123.94","22"
"Tennessee","$352.88","1952","$224.92","1596","$185.64","187"
"Texas","$338.06","7291","$232.17","7294","$144.5","1043"
"Utah","$289.63","837","$238.98","892","$204.58","56"
"Vermont","$375.57","327","$318.75","296","$190.36","27"
"Virginia","$368.31","3023","$291.53","2564","$222.89","249"
"Washington","$232.57","2894","$190.13","2990","$138.47","136"
"West Virginia","$353.38","475","$214.94","463","$158.21","51"
"Wisconsin","$353.3","1951","$271.46","1790","$237.56","145"
"Wyoming","$351.78","110","$359.34","162","$161.3","12"
