"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.06","1071","$199.31","966","$152.02","129"
"Alaska","$291","260","$263.79","305","$388.58","26"
"Arizona","$303.53","1984","$210.25","1665","$197.17","226"
"Arkansas","$360.59","589","$182.94","560","$128.03","116"
"California","$248.42","12391","$193.19","13153","$192.89","790"
"Colorado","$237.13","2255","$197.29","1842","$213.55","134"
"Connecticut","$347.17","1327","$273.84","1359","$257.36","91"
"Delaware","$372.79","360","$226.76","280","$199.88","34"
"District of Columbia","$352.16","451","$293.17","356","$211.38","40"
"Florida","$306.37","6683","$219.84","5388","$157.37","523"
"Georgia","$331.95","3180","$213.97","2331","$154.7","233"
"Hawaii","$308.22","335","$272.67","361","$162.11","26"
"Idaho","$276.69","322","$257.86","455","$133.75","22"
"Illinois","$359.35","4104","$287.3","3743","$181.1","345"
"Indiana","$336.78","1713","$206.62","1495","$161.6","254"
"Iowa","$372.32","708","$292.78","668","$252.24","103"
"Kansas","$355.3","854","$261.05","649","$124.27","109"
"Kentucky","$338.26","1037","$181.34","1012","$125.11","136"
"Louisiana","$375.32","1107","$243.85","893","$151.58","232"
"Maine","$319.95","464","$257.84","444","$214.8","52"
"Montana","$279.12","593","$251.58","267","$734.65","22"
"Nebraska","$352.35","518","$248.63","523","$142.51","63"
"Nevada","$270.64","926","$219.16","954","$231.08","61"
"New Hampshire","$377.98","442","$289.58","460","$561.24","39"
"New Jersey","$355.24","2292","$293.66","2875","$231.68","192"
"New Mexico","$294.63","581","$205.38","447","$63.7","42"
"New York","$352.33","5953","$268.29","5988","$190.04","491"
"North Carolina","$355.71","2879","$247.27","1971","$151.95","232"
"North Dakota","$410.88","141","$360.64","206","$269.55","13"
"Ohio","$336.66","3137","$213.46","2899","$167.87","408"
"Oklahoma","$364.32","775","$229.62","696","$120.54","134"
"Oregon","$212.77","1651","$188.87","1364","$175.34","63"
"Maryland","$379.74","2023","$248.05","1601","$196.11","153"
"Massachusetts","$353.94","2948","$297.34","2534","$217.65","223"
"Michigan","$298.45","3124","$276.27","2596","$228.6","232"
"Minnesota","$370.14","1759","$278.32","1591","$182.59","102"
"Mississippi","$340.09","418","$150.98","359","$137.48","99"
"Missouri","$368.26","1596","$242.05","1325","$151.52","210"
"Pennsylvania","$372.15","3936","$266.46","3310","$193.52","378"
"Rhode Island","$334.34","538","$261.62","366","$207.93","33"
"South Carolina","$347.37","1185","$201.73","927","$174.05","123"
"South Dakota","$386.84","167","$367.48","170","$125.68","20"
"Tennessee","$358.3","1595","$224.55","1266","$199.5","153"
"Texas","$342.32","6137","$235.96","5828","$142.14","869"
"Utah","$292.37","705","$232.84","699","$168.59","44"
"Vermont","$378.89","283","$323","232","$187.64","25"
"Virginia","$373.83","2543","$287.27","2023","$227.49","211"
"Washington","$235.68","2396","$191.94","2423","$142.94","110"
"West Virginia","$362.99","370","$197.95","383","$158.3","41"
"Wisconsin","$358.06","1670","$269.53","1413","$231.68","130"
"Wyoming","$354.03","94","$378.64","137","$161.3","11"
