"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","340.6","1402","204.64","1271","I feel bad for these guys -->","161"
"Alaska","289.81","327","262.12","413","I feel bad for these guys -->","33"
"Arizona","300.37","2420","209.35","2152","I feel bad for these guys -->","283"
"Arkansas","346.92","762","180.05","731","I feel bad for these guys -->","135"
"California","245.1","15208","191.43","17011","I feel bad for these guys -->","995"
"Colorado","237.96","2855","197.12","2475","I feel bad for these guys -->","168"
"Connecticut","341.1","1639","271.56","1767","I feel bad for these guys -->","107"
"Delaware","365.7","450","230.27","380","I feel bad for these guys -->","39"
"District of Columbia","348.73","584","288.85","498","I feel bad for these guys -->","47"
"Florida","302.76","8546","217.6","7235","I feel bad for these guys -->","640"
"Georgia","326.59","4032","216.74","3065","I feel bad for these guys -->","282"
"Hawaii","310","417","267.17","467","I feel bad for these guys -->","29"
"Idaho","277.1","395","248.89","590","I feel bad for these guys -->","32"
"Illinois","355.86","5113","283.18","4855","I feel bad for these guys -->","412"
"Indiana","333.19","2160","211.75","1987","I feel bad for these guys -->","302"
"Iowa","366.04","881","289.21","905","I feel bad for these guys -->","112"
"Kansas","351.36","1065","261.67","884","I feel bad for these guys -->","130"
"Kentucky","338.22","1339","183.57","1325","I feel bad for these guys -->","167"
"Louisiana","366.49","1391","244.6","1205","I feel bad for these guys -->","293"
"Maine","315.71","564","254.23","578","I feel bad for these guys -->","59"
"Montana","266.83","686","251.1","339","I feel bad for these guys -->","30"
"Nebraska","341.6","642","250.94","643","I feel bad for these guys -->","73"
"Nevada","268.07","1126","229.31","1267","I feel bad for these guys -->","76"
"New Hampshire","356.7","540","291.41","589","I feel bad for these guys -->","46"
"New Jersey","348.59","2798","287.93","3714","I feel bad for these guys -->","238"
"New Mexico","289.21","712","201.19","577","I feel bad for these guys -->","58"
"New York","346.02","7176","265.19","7747","I feel bad for these guys -->","575"
"North Carolina","349.18","3665","246.02","2659","I feel bad for these guys -->","285"
"North Dakota","405.46","186","362.95","274","I feel bad for these guys -->","21"
"Ohio","334.47","3863","217.54","3819","I feel bad for these guys -->","503"
"Oklahoma","363.26","965","232.94","940","I feel bad for these guys -->","175"
"Oregon","208.38","2001","183.34","1760","I feel bad for these guys -->","84"
"Maryland","370.6","2572","252.13","2155","I feel bad for these guys -->","181"
"Massachusetts","350.16","3687","288.45","3314","I feel bad for these guys -->","270"
"Michigan","291.07","3712","274.28","3332","I feel bad for these guys -->","274"
"Minnesota","355.14","2163","276.08","2154","I feel bad for these guys -->","115"
"Mississippi","336.98","547","146.44","480","I feel bad for these guys -->","131"
"Missouri","357.51","2012","245.97","1848","I feel bad for these guys -->","273"
"Pennsylvania","366.03","5008","267.81","4378","I feel bad for these guys -->","469"
"Rhode Island","321.22","658","258.74","475","I feel bad for these guys -->","42"
"South Carolina","342","1512","202.2","1239","I feel bad for these guys -->","152"
"South Dakota","376.44","197","348.33","228","I feel bad for these guys -->","22"
"Tennessee","352.8","2025","225.81","1669","I feel bad for these guys -->","197"
"Texas","336.93","7545","232.31","7635","I feel bad for these guys -->","1067"
"Utah","287.51","872","238.57","931","I feel bad for these guys -->","57"
"Vermont","374.78","332","317.28","320","I feel bad for these guys -->","28"
"Virginia","366.82","3155","291.94","2712","I feel bad for these guys -->","256"
"Washington","232.78","3025","189.8","3163","I feel bad for these guys -->","144"
"West Virginia","354.37","496","215.8","487","I feel bad for these guys -->","55"
"Wisconsin","352.93","2027","271.75","1917","I feel bad for these guys -->","149"
"Wyoming","330.41","117","356.25","170","I feel bad for these guys -->","12"
