"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","339.33","1506","205.76","1415","I feel bad for these guys -->","180"
"Alaska","303.22","347","271.03","462","I feel bad for these guys -->","37"
"Arizona","299.7","2579","209.85","2359","I feel bad for these guys -->","300"
"Arkansas","343.32","830","206.71","811","I feel bad for these guys -->","143"
"California","244.17","16226","190.14","18652","I feel bad for these guys -->","1069"
"Colorado","243.73","3078","195.41","2775","I feel bad for these guys -->","175"
"Connecticut","337.89","1802","268.06","2006","I feel bad for these guys -->","122"
"Delaware","363.61","481","234.74","420","I feel bad for these guys -->","40"
"District of Columbia","348.43","645","282.69","567","I feel bad for these guys -->","49"
"Florida","301.83","9190","217.31","7963","I feel bad for these guys -->","682"
"Georgia","324.23","4341","217.54","3371","I feel bad for these guys -->","303"
"Hawaii","307.47","444","265.34","501","I feel bad for these guys -->","29"
"Idaho","275.06","436","245.01","659","I feel bad for these guys -->","35"
"Illinois","354.49","5503","282.94","5375","I feel bad for these guys -->","438"
"Indiana","332.7","2339","213.85","2192","I feel bad for these guys -->","323"
"Iowa","365.19","961","288.79","1013","I feel bad for these guys -->","118"
"Kansas","350.38","1134","261.3","970","I feel bad for these guys -->","137"
"Kentucky","338.63","1458","173.74","1461","I feel bad for these guys -->","178"
"Louisiana","363.37","1485","241.06","1321","I feel bad for these guys -->","312"
"Maine","313.7","604","235.13","646","I feel bad for these guys -->","61"
"Montana","265.76","725","241.29","363","I feel bad for these guys -->","32"
"Nebraska","337.8","687","246.58","706","I feel bad for these guys -->","75"
"Nevada","266.64","1213","227.29","1389","I feel bad for these guys -->","78"
"New Hampshire","354.92","582","289.93","642","I feel bad for these guys -->","51"
"New Jersey","346.13","3013","286.76","4091","I feel bad for these guys -->","253"
"New Mexico","288.38","780","217.78","647","I feel bad for these guys -->","66"
"New York","344.9","7695","263.91","8505","I feel bad for these guys -->","611"
"North Carolina","346.05","3996","245.73","2954","I feel bad for these guys -->","308"
"North Dakota","397.32","206","345.93","313","I feel bad for these guys -->","23"
"Ohio","332.82","4154","218.54","4168","I feel bad for these guys -->","539"
"Oklahoma","355.34","1082","237.3","1042","I feel bad for these guys -->","190"
"Oregon","206.5","2146","180.87","1973","I feel bad for these guys -->","91"
"Maryland","366.67","2801","255.32","2396","I feel bad for these guys -->","192"
"Massachusetts","347.06","3933","286.57","3691","I feel bad for these guys -->","282"
"Michigan","289.22","3928","270.4","3638","I feel bad for these guys -->","291"
"Minnesota","352.57","2313","273.42","2404","I feel bad for these guys -->","124"
"Mississippi","335.51","593","148.85","530","I feel bad for these guys -->","140"
"Missouri","352.84","2176","245.32","2058","I feel bad for these guys -->","292"
"Pennsylvania","363.73","5414","269.62","4854","I feel bad for these guys -->","496"
"Rhode Island","317.14","711","260.26","545","I feel bad for these guys -->","46"
"South Carolina","338.38","1649","205.38","1370","I feel bad for these guys -->","161"
"South Dakota","356.98","218","348.61","251","I feel bad for these guys -->","25"
"Tennessee","349.14","2192","225.88","1858","I feel bad for these guys -->","214"
"Texas","335.11","8053","233.13","8332","I feel bad for these guys -->","1131"
"Utah","290.95","942","238.18","1025","I feel bad for these guys -->","60"
"Vermont","371.53","352","309.69","357","I feel bad for these guys -->","32"
"Virginia","365.25","3418","292.59","3006","I feel bad for these guys -->","281"
"Washington","233.37","3279","189.01","3482","I feel bad for these guys -->","156"
"West Virginia","358.42","542","220.37","527","I feel bad for these guys -->","59"
"Wisconsin","350.98","2194","274.11","2139","I feel bad for these guys -->","165"
"Wyoming","326.84","126","353.26","188","I feel bad for these guys -->","12"
